phase, on_ratio, optimal_travel_time, optimal_laps
2/5, 7/10, 19/20, 9
2/5, 3/4, 19/20, 9
2/5, 4/5, 19/20, 9
2/5, 17/20, 4/5, inf
2/5, 9/10, 4/5, inf
2/5, 19/20, 9/10, inf
9/20, 1/20, 19/20, 0
9/20, 1/10, 19/20, 0
9/20, 3/20, 19/20, 0
9/20, 1/5, 19/20, 0
9/20, 1/4, 19/20, 0
9/20, 3/10, 19/20, 0
9/20, 7/20, 19/20, 0
9/20, 2/5, 19/20, 0
9/20, 9/20, 19/20, 0
9/20, 1/2, 19/20, 10
9/20, 11/20, 19/20, 10
9/20, 3/5, 19/20, 10
9/20, 13/20, 19/20, 10
9/20, 7/10, 19/20, 10
9/20, 3/4, 19/20, 10
9/20, 4/5, 19/20, 10
9/20, 17/20, 19/20, 10
9/20, 9/10, 4/5, inf
9/20, 19/20, 4/5, inf
1/2, 1/20, 19/20, 0
1/2, 1/10, 19/20, 0
1/2, 3/20, 19/20, 0
1/2, 1/5, 19/20, 0
1/2, 1/4, 19/20, 0
1/2, 3/10, 19/20, 0
1/2, 7/20, 19/20, 0
1/2, 2/5, 19/20, 0
1/2, 9/20, 19/20, 0
1/2, 1/2, 19/20, 0
1/2, 11/20, 1/2, inf
1/2, 3/5, 1/2, inf
1/2, 13/20, 1/2, inf
1/2, 7/10, 1/2, inf
1/2, 3/4, 1/2, inf
1/2, 4/5, 3/4, inf
1/2, 17/20, 3/4, inf
1/2, 9/10, 3/4, inf
1/2, 19/20, 9/10, inf
11/20, 1/20, 19/20, 0
11/20, 1/10, 19/20, 0
11/20, 3/20, 19/20, 0
11/20, 1/5, 19/20, 0
11/20, 1/4, 19/20, 0
11/20, 3/10, 19/20, 0
11/20, 7/20, 19/20, 0
11/20, 2/5, 19/20, 0
11/20, 9/20, 19/20, 0
11/20, 1/2, 19/20, 0
11/20, 11/20, 19/20, 0
11/20, 3/5, 1/2, inf
11/20, 13/20, 1/2, inf
11/20, 7/10, 1/2, inf
11/20, 3/4, 1/2, inf
11/20, 4/5, 1/2, inf
11/20, 17/20, 3/4, inf
11/20, 9/10, 3/4, inf
11/20, 19/20, 3/4, inf
3/5, 1/20, 19/20, 0
3/5, 1/10, 19/20, 0
3/5, 3/20, 19/20, 0
3/5, 1/5, 19/20, 0
3/5, 1/4, 19/20, 0
3/5, 3/10, 19/20, 0
3/5, 7/20, 19/20, 0
3/5, 2/5, 19/20, 0
3/5, 9/20, 19/20, 0
3/5, 1/2, 19/20, 0
3/5, 11/20, 19/20, 0
3/5, 3/5, 19/20, 0
3/5, 13/20, 1/2, inf
3/5, 7/10, 1/2, inf
3/5, 3/4, 1/2, inf
3/5, 4/5, 1/2, inf
3/5, 17/20, 4/5, inf
3/5, 9/10, 4/5, inf
3/5, 19/20, 9/10, inf
13/20, 1/20, 19/20, 0
13/20, 1/10, 19/20, 0
13/20, 3/20, 19/20, 0
13/20, 1/5, 19/20, 0
13/20, 1/4, 19/20, 0
13/20, 3/10, 19/20, 0
13/20, 7/20, 19/20, 0
13/20, 2/5, 19/20, 0
13/20, 9/20, 19/20, 0
13/20, 1/2, 19/20, 0
13/20, 11/20, 19/20, 0
13/20, 3/5, 19/20, 0
13/20, 13/20, 19/20, 0
13/20, 7/10, 1/2, inf
13/20, 3/4, 1/2, inf
13/20, 4/5, 1/2, inf
13/20, 17/20, 1/2, inf
13/20, 9/10, 4/5, inf
13/20, 19/20, 4/5, inf
7/10, 1/20, 19/20, 0
7/10, 1/10, 19/20, 0
7/10, 3/20, 19/20, 0
7/10, 1/5, 19/20, 0
7/10, 1/4, 19/20, 0
7/10, 3/10, 19/20, 0
7/10, 7/20, 19/20, 0
7/10, 2/5, 19/20, 0
7/10, 9/20, 19/20, 0
7/10, 1/2, 19/20, 0
7/10, 11/20, 19/20, 0
7/10, 3/5, 19/20, 0
7/10, 13/20, 19/20, 0
7/10, 7/10, 19/20, 0
7/10, 3/4, 1/2, inf
7/10, 4/5, 1/2, inf
7/10, 17/20, 1/2, inf
7/10, 9/10, 1/2, inf
7/10, 19/20, 9/10, inf
3/4, 1/20, 19/20, 0
3/4, 1/10, 19/20, 0
3/4, 3/20, 19/20, 0
3/4, 1/5, 19/20, 0
3/4, 1/4, 19/20, 0
3/4, 3/10, 19/20, 0
3/4, 7/20, 19/20, 0
3/4, 2/5, 19/20, 0
3/4, 9/20, 19/20, 0
3/4, 1/2, 19/20, 0
3/4, 11/20, 19/20, 0
3/4, 3/5, 19/20, 0
3/4, 13/20, 19/20, 0
3/4, 7/10, 19/20, 0
3/4, 3/4, 19/20, 0
3/4, 4/5, 3/4, inf
3/4, 17/20, 3/4, inf
3/4, 9/10, 3/4, inf
3/4, 19/20, 3/4, inf
4/5, 1/20, 19/20, 0
4/5, 1/10, 19/20, 0
4/5, 3/20, 19/20, 0
4/5, 1/5, 19/20, 0
4/5, 1/4, 19/20, 0
4/5, 3/10, 19/20, 0
4/5, 7/20, 19/20, 0
4/5, 2/5, 19/20, 0
4/5, 9/20, 19/20, 0
4/5, 1/2, 19/20, 0
4/5, 11/20, 19/20, 0
4/5, 3/5, 19/20, 0
4/5, 13/20, 19/20, 0
4/5, 7/10, 19/20, 0
4/5, 3/4, 19/20, 0
4/5, 4/5, 19/20, 0
4/5, 17/20, 4/5, inf
4/5, 9/10, 4/5, inf
4/5, 19/20, 9/10, inf
17/20, 1/20, 19/20, 0
17/20, 1/10, 19/20, 0
17/20, 3/20, 19/20, 0
17/20, 1/5, 19/20, 0
17/20, 1/4, 19/20, 0
17/20, 3/10, 19/20, 0
17/20, 7/20, 19/20, 0
17/20, 2/5, 19/20, 0
17/20, 9/20, 19/20, 0
17/20, 1/2, 19/20, 0
17/20, 11/20, 19/20, 0
17/20, 3/5, 19/20, 0
17/20, 13/20, 19/20, 0
17/20, 7/10, 19/20, 0
17/20, 3/4, 19/20, 0
17/20, 4/5, 19/20, 0
17/20, 17/20, 19/20, 0
17/20, 9/10, 4/5, inf
17/20, 19/20, 4/5, inf
9/10, 1/20, 19/20, 0
9/10, 1/10, 19/20, 0
9/10, 3/20, 19/20, 0
9/10, 1/5, 19/20, 0
9/10, 1/4, 19/20, 0
9/10, 3/10, 19/20, 0
9/10, 7/20, 19/20, 0
9/10, 2/5, 19/20, 0
9/10, 9/20, 19/20, 0
9/10, 1/2, 19/20, 0
9/10, 11/20, 19/20, 0
9/10, 3/5, 19/20, 0
9/10, 13/20, 19/20, 0
9/10, 7/10, 19/20, 0
9/10, 3/4, 19/20, 0
9/10, 4/5, 19/20, 0
9/10, 17/20, 19/20, 0
9/10, 9/10, 19/20, 0
9/10, 19/20, 9/10, inf
19/20, 1/20, 19/20, 0
19/20, 1/10, 19/20, 0
19/20, 3/20, 19/20, 0
19/20, 1/5, 19/20, 0
19/20, 1/4, 19/20, 0
19/20, 3/10, 19/20, 0
19/20, 7/20, 19/20, 0
19/20, 2/5, 19/20, 0
19/20, 9/20, 19/20, 0
19/20, 1/2, 19/20, 0
19/20, 11/20, 19/20, 0
19/20, 3/5, 19/20, 0
19/20, 13/20, 19/20, 0
19/20, 7/10, 19/20, 0
19/20, 3/4, 19/20, 0
19/20, 4/5, 19/20, 0
19/20, 17/20, 19/20, 0
19/20, 9/10, 19/20, 0
19/20, 19/20, 19/20, 0
